z,kind,beta0,baseline_valid,jacobian_success,diag_highk_log_slope,diag_uv_stable,tangent_residual_max,node_source_ratio,node_raw_bump,node_diag_bump,node_row_coupling_ratio,node_dominant_input_k_Mpc,node_support
0.25,simple,1.0,True,True,-1.922962870206127,True,9.09960683881886e-11,0.1165387182751355,10.774611378076882,0.8532202739925832,1.5967312887110265,0.025,True
0.25,simple,0.5,True,True,-2.016652726601507,True,8.040535708622728e-11,0.1165387182751385,10.204209530240878,0.8662994320197531,3.1379902458466193,0.025,True
0.25,simple,0.1,True,True,-2.042840293287566,True,7.77428730689901e-11,0.11653871827514134,15.136568819414899,0.8917039327022779,1.3896385794544768,0.025,True
0.25,exponential,1.0,True,True,-1.9194426713289865,True,6.661434518284732e-11,0.1165387182751355,10.638685316338016,0.8522236182009616,1.6926065628668243,0.025,True
0.25,exponential,0.5,True,True,-2.0180884072978795,True,5.357876726167957e-11,0.1165387182751385,10.23341080601528,0.8661087943237868,3.2339279936069114,0.025,True
0.25,exponential,0.1,True,True,-2.043562865515889,True,8.524619769907543e-11,0.11653871827514134,15.212776996177787,0.8915949338277417,1.4152423726299568,0.025,True
0.25,sharp,1.0,True,True,-1.9150696997181162,True,9.797749855689937e-11,0.1165387182751355,10.502474291807244,0.8477680205215566,1.7781029340825347,0.025,True
0.25,sharp,0.5,True,True,-2.019628427232904,True,7.478652964496982e-11,0.1165387182751385,10.25845388360217,0.8659070590831053,3.3619247047426595,0.025,True
0.25,sharp,0.1,True,True,-2.0443042244615675,True,9.266537203106004e-11,0.11653871827514134,15.290450985049926,0.8914785797551636,1.4419845271808929,0.025,True
0.5,simple,1.0,True,True,-1.9818251158409677,True,6.813648488714452e-11,nan,nan,nan,nan,nan,False
0.5,simple,0.5,True,True,-1.9544730569880144,True,4.773352833851639e-11,nan,nan,nan,nan,nan,False
0.5,simple,0.1,True,True,-2.001085394317546,True,7.505361794158782e-11,nan,nan,nan,nan,nan,False
0.5,exponential,1.0,True,True,-1.9792226638344477,True,7.917932944874123e-11,nan,nan,nan,nan,nan,False
0.5,exponential,0.5,True,True,-1.9550346986960598,True,9.489170681447053e-11,nan,nan,nan,nan,nan,False
0.5,exponential,0.1,True,True,-2.001089749100908,True,7.168296720539578e-11,nan,nan,nan,nan,nan,False
0.5,sharp,1.0,True,True,-1.9765414687447127,True,9.461537609674769e-11,nan,nan,nan,nan,nan,False
0.5,sharp,0.5,True,True,-1.95537789259177,True,6.59650051518134e-11,nan,nan,nan,nan,nan,False
0.5,sharp,0.1,True,True,-2.001083962121054,True,7.672199660833306e-11,nan,nan,nan,nan,nan,False
1.0,simple,1.0,True,True,-2.015661106137165,True,8.06962146653926e-11,nan,nan,nan,nan,nan,False
1.0,simple,0.5,True,True,-2.081550211198209,True,9.956119175663654e-11,nan,nan,nan,nan,nan,False
1.0,simple,0.1,True,True,-2.0052306858915285,True,7.658164533790772e-11,nan,nan,nan,nan,nan,False
1.0,exponential,1.0,True,True,-2.019291863735654,True,4.832571619420406e-11,nan,nan,nan,nan,nan,False
1.0,exponential,0.5,True,True,-2.076701141672684,True,7.415808396786902e-11,nan,nan,nan,nan,nan,False
1.0,exponential,0.1,True,True,-2.0056427140938844,True,7.82190238078203e-11,nan,nan,nan,nan,nan,False
1.0,sharp,1.0,True,True,-2.0242986948556383,True,7.93596041816988e-11,nan,nan,nan,nan,nan,False
1.0,sharp,0.5,True,True,-2.0797557399391327,True,9.743439167942514e-11,nan,nan,nan,nan,nan,False
1.0,sharp,0.1,True,True,-2.0060438780727576,True,7.751730140598874e-11,nan,nan,nan,nan,nan,False
